,movement,frequency,move_class,,Equipment
279,dumbbell deadlift,1,Weightlifting,,dumbbell
280,dumbbell front rack walking lunge,1,Weightlifting,,dumbbell
281,dumbbell hang clean,1,Weightlifting,,dumbbell
282,dumbbell hang power clean,1,Weightlifting,,dumbbell
283,dumbbell hang squat clean,2,Weightlifting,,dumbbell
284,dumbbell man-makers,2,Weightlifting,,dumbbell
285,dumbbell power clean,1,Weightlifting,,dumbbell
286,dumbbell power snatch (one arm - l),1,Weightlifting,,dumbbell
287,dumbbell power snatch (one arm - r),1,Weightlifting,,dumbbell
288,dumbbell push jerk,2,Weightlifting,,dumbbell
289,dumbbell push press,6,Weightlifting,,dumbbell
290,dumbbell row,1,Weightlifting,,dumbbell
291,dumbbell shoulder press,10,Weightlifting,,dumbbell
292,dumbbell snatch,5,Weightlifting,,dumbbell
293,dumbbell thruster,9,Weightlifting,,dumbbell
294,dumbbell thruster (one arm),1,Weightlifting,,dumbbell
295,dumbbell walking lunge,4,Weightlifting,,dumbbell
296,front rack lunge,2,Weightlifting,,barbell
297,front rack walking lunge,2,Weightlifting,,barbell
298,front squat,125,Weightlifting,,barbell
299,front squat pause,1,Weightlifting,,barbell
300,goblet squat,4,Weightlifting,,kettlebell
301,good morning,6,Weightlifting,,barbell
302,ground to overhead,1,Weightlifting,,barbell
303,halting clean deadlift,1,Weightlifting,,barbell
304,halting snatch deadlift,2,Weightlifting,,barbell
305,hang clean,2,Weightlifting,,barbell
306,hang clean & jerk,1,Weightlifting,,barbell
307,hang power clean,30,Weightlifting,,barbell
308,hang power clean & jerk,2,Weightlifting,,barbell
309,hang power snatch,7,Weightlifting,,barbell
310,hang snatch,2,Weightlifting,,barbell
311,hang snatch high pull,1,Weightlifting,,barbell
312,hang squat clean,12,Weightlifting,,barbell
313,hang squat clean & jerk,1,Weightlifting,,barbell
314,hang squat clean thruster,1,Weightlifting,,barbell
315,hang squat snatch,10,Weightlifting,,barbell
316,high hang squat clean,2,Weightlifting,,barbell
317,high hang squat snatch,1,Weightlifting,,barbell
318,in-step stretch,1,Weightlifting,,barbell
319,jerk,3,Weightlifting,,barbell
320,jerk dip squat,2,Weightlifting,,barbell
321,kettlebell deadlift,1,Weightlifting,,kettlebell
322,kettlebell ground to overhead (one arm l),1,Weightlifting,,kettlebell
323,kettlebell ground to overhead (one arm r),1,Weightlifting,,kettlebell
324,kettlebell overhead squat   left arm,1,Weightlifting,,kettlebell
325,kettlebell overhead squat   right arm,1,Weightlifting,,kettlebell
326,kettlebell push press,1,Weightlifting,,kettlebell
327,kettlebell snatch,4,Weightlifting,,kettlebell
328,kettlebell squat clean,1,Weightlifting,,kettlebell
329,kettlebell sumo deadlift high-pull,4,Weightlifting,,kettlebell
330,kettlebell swing,72,Weightlifting,,kettlebell
331,kettlebell swing (1 arm),1,Weightlifting,,kettlebell
332,kettlebell swing (american),34,Weightlifting,,kettlebell
333,kettlebell thruster,3,Weightlifting,,kettlebell
334,medicine ball clean,11,Weightlifting,,odd
335,medicine ball goblet squat,1,Weightlifting,,odd
336,medicine ball over bar,1,Weightlifting,,odd
337,muscle snatch,1,Weightlifting,,barbell
338,one arm dumbbell snatch (alternating),8,Weightlifting,,dumbbell
339,overhead hold,1,Weightlifting,,barbell
340,overhead lunge,1,Weightlifting,,barbell
341,overhead squat,90,Weightlifting,,barbell
342,overhead walking lunge,14,Weightlifting,,odd
343,pause clean,1,Weightlifting,,barbell
344,pause clean and jerk,1,Weightlifting,,barbell
345,pause squat clean,1,Weightlifting,,barbell
346,pause squat snatch,2,Weightlifting,,barbell
347,power clean,70,Weightlifting,,barbell
348,power clean & jerk,5,Weightlifting,,barbell
349,power clean & push jerk,1,Weightlifting,,barbell
350,power snatch,46,Weightlifting,,barbell
351,press,5,Weightlifting,,barbell
352,prone dumbbell row,5,Weightlifting,,dumbbell
353,push jerk,29,Weightlifting,,barbell
354,push press,62,Weightlifting,,barbell
355,pvc good morning,1,Weightlifting,,odd
356,pvc overhead squat,3,Weightlifting,,odd
357,pvc thruster,3,Weightlifting,,odd
358,renegade row,2,Weightlifting,,dumbbell
359,reverse grip bench press,1,Weightlifting,,barbell
360,romanian deadlift (snatch grip),1,Weightlifting,,barbell
361,russian kettlebell swing,20,Weightlifting,,kettlebell
362,seated dumbbell press,1,Weightlifting,,dumbbell
363,seated shoulder press,1,Weightlifting,,dumbbell
364,shankle complex,1,Weightlifting,,barbell
365,shoulder press,45,Weightlifting,,barbell
366,shoulder-to-overhead,15,Weightlifting,,barbell
367,single arm arnold press,1,Weightlifting,,dumbbell
368,single arm db bent over row,2,Weightlifting,,dumbbell
369,single arm dumbbell shoulder press,3,Weightlifting,,dumbbell
370,single arm high pull,1,Weightlifting,,kettlebell
371,single arm kettlebell overhead walking lunge,1,Weightlifting,,kettlebell
372,single arm thruster,1,Weightlifting,,kettlebell
373,sled push,5,Weightlifting,,odd
374,sled push low handle,1,Weightlifting,,odd
375,snatch,40,Weightlifting,,barbell
376,snatch balance,8,Weightlifting,,barbell
377,snatch deadlift,1,Weightlifting,,barbell
378,snatch grip deadlift,6,Weightlifting,,barbell
379,snatch grip push press,1,Weightlifting,,barbell
380,snatch high pull,4,Weightlifting,,barbell
381,snatch lift off,2,Weightlifting,,barbell
382,sots press,1,Weightlifting,,barbell
383,split jerk,23,Weightlifting,,barbell
384,split press,1,Weightlifting,,barbell
385,split squat,1,Weightlifting,,barbell
386,squat clean,40,Weightlifting,,barbell
387,squat clean & jerk,6,Weightlifting,,barbell
388,squat clean + back squat + front squat,1,Weightlifting,,barbell
389,squat clean from blocks,1,Weightlifting,,barbell
390,squat clean thruster,3,Weightlifting,,barbell
391,squat snatch,27,Weightlifting,,barbell
392,squat snatch from blocks,1,Weightlifting,,barbell
393,stiff legged deadlift,1,Weightlifting,,barbell
394,stone carry,1,Weightlifting,,odd
395,straight legged deadlift,1,Weightlifting,,barbell
396,strict press,8,Weightlifting,,barbell
397,sumo deadlift high-pull,20,Weightlifting,,barbell
398,tabata front squat,1,Weightlifting,,barbell
399,tabata overhead squat,1,Weightlifting,,barbell
400,tempo back squat,1,Weightlifting,,barbell
401,tempo front squat,1,Weightlifting,,barbell
402,thruster,59,Weightlifting,,barbell
403,tire flip,2,Weightlifting,,odd
404,turkish get up,4,Weightlifting,,kettlebell
405,"turkish get-up, left arm",1,Weightlifting,,kettlebell
406,"turkish get-up, right arm",1,Weightlifting,,kettlebell
407,two hand dumbbell bent over row,1,Weightlifting,,dumbbell
408,wall ball,116,Weightlifting,,odd
409,wall ball (2 for 1),4,Weightlifting,,odd
410,wall ball (partner),1,Weightlifting,,odd
411,wall ball sit-up,1,Weightlifting,,odd
412,weighted abmat sit-up,1,Weightlifting,,odd
413,weighted air squat,1,Weightlifting,,barbell
414,weighted barbell step-up,1,Weightlifting,,barbell
415,weighted dip,7,Weightlifting,,bars
416,weighted lunge,3,Weightlifting,,odd
417,weighted pull-up,7,Weightlifting,,pull bar
418,weighted push-up,2,Weightlifting,,odd
419,weighted sit-up,2,Weightlifting,,odd
420,weighted step ups holding dumbbell,1,Weightlifting,,odd
421,weighted strict bar dip,1,Weightlifting,,bars
422,weighted strict pull-up,4,Weightlifting,,pull bar
423,weighted strict ring dip,3,Weightlifting,,rings
424,weighted walking lunge,1,Weightlifting,,odd
425,yoke carry,1,Weightlifting,,odd
426,zercher squat,1,Weightlifting,,barbell
427,zercher yoke carry,1,Weightlifting,,odd
