,benchmark,move_list
60,jack,"[u'115 pound Push press, 10 reps', u'10 KB Swings, 1.5 pood', u'10 Box jumps, 24 inch box', u'Max Rounds in 20 Min']"
61,jag-28,"[u'Run 800 meters', u'28 Kettlebell swings, 2 pood', u'28 Strict Pull-ups', u'28 Kettlebell clean and jerk, 2 pood each', u'28 Strict Pull-ups', u'Run 800 meters', u'For time']"
62,jared,"[u'Four rounds of: ', u'Run 800 meters', u'40 Pull-ups', u'70 Push-ups', u'For time']"
63,jason,"[u'100 Squats', u'5 Muscle-ups', u'75 Squats', u'10 Muscle-ups', u'50 Squats', u'15 Muscle-ups', u'25 Squats', u'20 Muscle-ups', u'For time.']"
64,jerry,"[u'Run 1 mile', u'Row 2K', u'Run 1 mile', u'For Time']"
65,johnson,"[u'245 pound Deadlift, 9 reps', u'8 Muscle-ups', u'155 pound Squat clean, 9 reps', u'Rounds in 20 Min']"
66,josh,"[u'95 pound Overhead squat, 21 reps', u'42 Pull-ups', u'95 pound Overhead squat, 15 reps', u'30 Pull-ups', u'95 pound Overhead squat, 9 reps', u'18 Pull-ups', u'For time.']"
67,joshie,"[u'40 pound Dumbbell snatch, 21 reps, right arm', u'21 L Pull-ups', u'40 pound Dumbbell snatch, 21 reps, left arm', u'21 L Pull-ups', u'The snatches are full squat snatches.', u'3 rounds for time.']"
68,jt,"[u'Handstand push-ups', u'Ring dips', u'Push-ups', u'21-15-9 reps, for time']"
69,klepto,"[u'Four rounds of: ', u'27 Box jumps, 24"" box', u'20 Burpees', u'11 Squat cleans, 145 pounds', u'For time']"
70,ledesma,"[u'Complete as many rounds as possible in 20 minutes of:', u'5 Parallette handstand push-ups', u'10 Toes through rings', u'20 pound Medicine ball cleans, 15 reps']"
71,loredo,"[u'Six rounds for time of:', u'24 Squats', u'24 Push-ups', u'24 Walking lunge steps', u'Run 400 meters']"
72,luce,"[u'Wearing a 20 pound vest, three rounds of:', u'Run 1K', u'10 Muscle-ups', u'100 Squats', u'For Time']"
73,lumberjack-20,"[u'20 Deadlifts (275lbs)', u'Run 400m', u'20 KB swings (2pood)', u'Run 400m', u'20 Overhead Squats (115lbs)', u'Run 400m', u'20 Burpees', u'Run 400m', u'20 Pullups (Chest to Bar)', u'Run 400m', u'20 Box jumps (24"")', u'Run 400m', u'20 DB Squat Cleans (45lbs each)', u'Run 400m', u'For time']"
74,manion,"[u'Seven rounds of:', u'Run 400 meters', u'135 pound Back squat, 29 reps', u'For Time']"
75,mccluskey,"[u'Three rounds of:', u'9 Muscle-ups', u'15 Burpee pull-ups', u'21 Pull-ups', u'Run 800 meters']"
76,mcghee,"[u'275 pound Deadlift, 5 reps', u'13 Push-ups', u'9 Box jumps, 24 inch box', u'Rounds in 30 min']"
77,meadows,"[u'20 Muscle-ups', u'25 Lowers from an inverted hang on the rings, slowly, with straight body and arms', u'30 Ring handstand push-ups', u'35 Ring rows', u'40 Ring push-ups', u'For time']"
78,michael,"[u'Run 800 meters', u'50 Back Extensions', u'50 Sit-ups', u'3 rounds for time']"
79,moon,"[u'Seven rounds of:', u'40 pound dumbbell Hang split snatch, 10 reps Right arm', u'15 ft Rope Climb, 1 ascent', u'40 pound dumbbell Hang split snatch, 10 reps Left arm', u'15 ft Rope Climb, 1 ascent']"
80,moore,"[u'15 ft Rope Climb, 1 ascent', u'Run 400 meters', u'Max rep Handstand push-ups', u'Rounds in 20 min']"
81,morrison,"[u'50-40-30-20 and 10 rep rounds of: ', u'Wall ball shots, 20 pound ball', u'Box jump, 24 inch box', u'Kettlebell swings, 1.5 pood', u'For Time']"
82,mr-joshua,"[u'Five rounds of:', u'Run 400 meters', u'30 Glute-ham sit-ups', u'250 pound Deadlift, 15 reps', u'For time']"
83,murph,"[u'1 mile Run', u'100 Pull-ups', u'200 Push-ups', u'300 Squats', u'1 mile Run', u'For time.', u'Partition the pull-ups, push-ups, and squats as needed.', u""Start and finish with a mile run. If you've got a twenty pound vest or body armor, wear it.""]"
84,nate,"[u'2 Muscle-ups', u'4 Handstand Push-ups', u'8 2-Pood Kettlebell swings', u'As many rounds as possible in 20 minutes']"
85,nick,"[u'Twelve rounds of: ', u'45 pound Dumbbell hang squat clean, 10 reps', u'6 Handstand push-ups on dumbbells', u'For time']"
