,Date,Workout,Result,Prescribed,Work performed,Work time,Formatted Result,workout_name_length,Movements,power
269,2016-01-24,"""Tabata"" - Handstand Holds and Burpees : 3 x 20 secs / 10 secs",21.0,True,9669,180000.0,21 reps | 3 + 18,62,"burpee, handstand hold",53.7166666667
270,2016-01-24,"AMRAP 20 mins: Front Rack Lunges, Muscle-ups and Handstand Push-ups",6.125,False,6355,1200000.0,6 rounds + 15 ft,67,"handstand push-up, lunge, muscle-up, push-up, front rack lunge",5.29583333333
274,2016-01-22,FT: Rows and Double Unders,270000.0,True,28570,270000.0,4 mins 30 secs,26,"double under, row",105.814814815
275,2016-01-22,"Chipper: 800 m, Handstand Push-ups, Rope Climbs, 12 and  more",2711000.0,False,94125,2711000.0,45 mins 11 secs,61,"handstand push-up, push-up, rope climb",34.7196606418
277,2016-01-20,"AMRAP 15 mins: Double Unders, Handstand Walks, Pistols and Burpee Broad Jumps",2.4,False,19002,900000.0,2 rounds + 50 Double Unders + 2 Wall Walks,77,"double under, handstand walk, burpee, burpee broad jump, pistol",21.1133333333
278,2016-01-20,"AMRAP 5 mins: Push-ups, Jumping Squats and Handstand Push-ups",3.667,False,10635,300000.0,3 rounds + 12 Push-up (knees)s + 9 Jumping Squats | 102 reps,61,"handstand push-up, jumping squat, push-up, squat",35.45
281,2016-01-19,"""Tabata"" - Double Unders and Ball Slams : 4 x 45 secs / 15 secs",207.0,True,14118,480000.0,207 reps | 156 + 51,63,"double under, ball slam",29.4125
282,2016-01-19,CrossFit Games Open 14.5 / 16.5,1396000.0,True,81862,1396000.0,23 mins 16 secs,31,,58.6404011461
283,2016-01-19,Every 1 min for 20 mins: Push-ups and Pull-ups,10.0,False,30595,1200000.0,10.0 rounds,46,"pull-up, push-up",25.4958333333
285,2016-01-17,"Every 5 mins for 25 mins: Deadlifts, Box Jumps and Rows",5.0,False,72289,1500000.0,5.0 rounds,55,"row, box jump, deadlift",48.1926666667
286,2016-01-16,"AMRAP 15 mins: Rows, Kettlebell Swing (American)s and Burpees",3.733,True,84318,900000.0,3 rounds + 250 m + 20 Kettlebell Swing (American)s + 3 Burpees,61,"row, burpee, kettlebell swing, kettlebell swing (american)",93.6866666667
288,2016-01-16,Every 1 min for 15 mins: Hang Snatch,675.8526313,True,7404,900000.0,1490 lbs,36,"hang snatch, snatch",8.22666666667
290,2016-01-15,"21-15-9: Pull-ups, Ring Dips and Handstand Push-ups",1151000.0,False,34819,1151000.0,19 mins 11 secs,51,"dip, handstand push-up, pull-up, push-up, ring dip",30.2510860122
293,2016-01-13,CrossFit Games Open 12.4 / 13.3,247.0,False,42834,720000.0,247 reps,31,,59.4916666667
